response;title;year;rated;released;runtime;genre;director;writer;actors;plot;language;country;awards;poster;metascore;imdbRating;imdbVotes;imdbID;type;season;episode;seriesID
True;Life Begins;1932;APPROVED;10 Sep 1932;71 min;Drama;James Flood, Elliott Nugent;Mary M. Axelson (play), Earl Baldwin (screen adaptation);Loretta Young, Eric Linden, Aline MacMahon, Glenda Farrell;At a maternity hospital, future fathers pace the corridors while their wives wait for their babies either anxiously or happily. Efficient and compassionate nurse Miss Bowers keeps the ward ...;English;USA;N/A;N/A;N/A;6,7;269;tt0023139;movie;;;
True;Love Affair;1932;N/A;17 Mar 1932;68 min;Drama, Romance;Thornton Freeland;Dorothy Howell (continuity), Ursula Parrott (story), Jo Swerling;Dorothy Mackaill, Humphrey Bogart, Hale Hamilton, Halliwell Hobbes;Heiress Carol Owen learns to fly from aeronautical engineer Jim Leonard who begins neglecting his work as their affair progresses. Things get complicated when she learns her father died ...;English;USA;N/A;N/A;N/A;5,9;233;tt0023153;movie;;;
True;War Babies;1932;PASSED;18 Sep 1932;11 min;Short, Comedy, War;Charles Lamont;N/A;Shirley Temple;A group of soldiers in a café watch a dancer as she entertains them, but later two of them become rivals over her.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTY4OTI5Nzk3OV5BMl5BanBnXkFtZTcwMDM3MDc0NQ@@._V1_SX300.jpg;N/A;5;262;tt0023669;movie;;;
True;Man's Castle;1933;N/A;27 Oct 1933;75 min;Drama, Romance;Frank Borzage;Lawrence Hazard (play), Jo Swerling;Spencer Tracy, Loretta Young, Marjorie Rambeau, Glenda Farrell;Bill takes Trina into his depression camp cabin. Later, just as he finds showgirl LaRue who will support him, Trina becomes pregnant.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BYTc2ZTllNTQtMjM4OS00OGJlLWJkNTQtZGRkNjQyZDY3ZjAwXkEyXkFqcGdeQXVyMjc1NjE1MzM@._V1_SX300.jpg;N/A;7,4;843;tt0024302;movie;;;
True;Riders of Destiny;1933;PASSED;10 Oct 1933;53 min;Music, Romance, Western;Robert N. Bradbury;Robert N. Bradbury (story);John Wayne, Cecilia Parker, Forrest Taylor, George 'Gabby' Hayes;Bad guy Kincaid controls the local water supply and plans to do in the other ranchers. Government agent Saunders shows up undercover to do in Kincaid and win the heart of one of his victims Fay Denton.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTI4NTUzNzUxMl5BMl5BanBnXkFtZTcwNTE4MDUyMQ@@._V1_SX300.jpg;N/A;5,6;657;tt0024500;movie;;;
True;Today We Live;1933;APPROVED;14 Apr 1933;113 min;Drama, Romance, War;Howard Hawks, Richard Rosson;William Faulkner (story), Edith Fitzgerald (screenplay), Dwight Taylor (screenplay), William Faulkner (dialogue);Joan Crawford, Gary Cooper, Robert Young, Franchot Tone;During WWI, two officers, one a pilot and the other in the navy, compete for the same beautiful young woman.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMjEyNzQ1MDQ3NV5BMl5BanBnXkFtZTcwNjkzMjc5Mg@@._V1_SX300.jpg;N/A;5,7;747;tt0024675;movie;;;
True;Anne of Green Gables;1934;APPROVED;23 Nov 1934;78 min;Comedy, Drama, Family;George Nichols Jr.;"Sam Mintz (screen play), Lucy Maud Montgomery (from the book &quot;Anne of Green Gables&quot;)";Anne Shirley, Tom Brown, O.P. Heggie, Helen Westley;A romantic teenage girl is adopted by a pair of elderly siblings in turn-of-the-century Canada.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTUwNDEwNjc5Ml5BMl5BanBnXkFtZTcwMjU5MzYxMQ@@._V1_SX300.jpg;N/A;7,1;703;tt0024831;movie;;;
True;Blind Date;1934;PASSED;20 Jul 1934;72 min;Comedy, Romance;Roy William Neill;Ethel Hill (screen play), Vida Hurst (based on the story by);Ann Sothern, Neil Hamilton, Paul Kelly, Jane Darwell;A young woman is torn between a wealthy suitor who wants her body and the honest young man who wants what's best for her.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTY3NzExMzI3OF5BMl5BanBnXkFtZTgwMzE0ODgwMzE@._V1_SX300.jpg;N/A;6,1;180;tt0024897;movie;;;
True;The Ghost Walks;1934;APPROVED;01 Dec 1934;69 min;Mystery, Thriller;Frank R. Strayer;Charles Belden (original screenplay);John Miljan, June Collyer, Richard Carle, Henry Kolker;During a stormy night at an old dark mansion, people who claim to see ghosts roaming the halls are later found murdered.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTY2MTE1MzgyM15BMl5BanBnXkFtZTgwMjMwNTUzMzE@._V1_SX300.jpg;N/A;5,6;254;tt0025169;movie;;;
True;The Girl from Missouri;1934;APPROVED;03 Aug 1934;75 min;Comedy, Drama, Romance;Jack Conway, Sam Wood;Anita Loos (original screenplay), John Emerson (original screenplay);Jean Harlow, Lionel Barrymore, Franchot Tone, Lewis Stone;Chorus girl Eadie is determined to marry a millionaire without sacrificing her virtue.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMjM0MTczMzE3NF5BMl5BanBnXkFtZTgwODI5MjIyMjE@._V1_SX300.jpg;N/A;6,7;691;tt0025173;movie;;;
True;The Hearts of Age;1934;N/A;26 Nov 1999;8 min;Short;William Vance, Orson Welles;Orson Welles;Orson Welles, Virginia Nicolson, William Vance, Edgerton Paul;A colonial scene in the U.S. An old lady sits astride a bell while a man in blackface, wig, and livery pulls the bell rope. From an upper door emerges an old man, dressed as a dandy, who ...;N/A;USA;N/A;N/A;N/A;5,7;827;tt0025227;movie;;;
True;Murder at the Vanities;1934;N/A;18 May 1934;89 min;Musical, Mystery, Romance;Mitchell Leisen;Carey Wilson (screenplay), Joseph Gollomb (screenplay), Earl Carroll (based upon the play by), Rufus King (based upon the play by), Sam Hellman (dialogue);Carl Brisson, Victor McLaglen, Jack Oakie, Kitty Carlisle;A homicide detective with an eye for the ladies investigating a murder in Earl Carroll's Vanities allows the music review to continue during the investigation.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BZjUwNmVmNzktMGM3NC00NzljLWExYjktMTFiODNiM2U1NWY5XkEyXkFqcGdeQXVyNjI1NTIxNjM@._V1_SX300.jpg;N/A;6,8;417;tt0025529;movie;;;
True;Now and Forever;1934;APPROVED;31 Aug 1934;81 min;Drama, Romance;Henry Hathaway;Melville Baker (story), Jack Kirkland (story), Vincent Lawrence, Sylvia Thalberg;Gary Cooper, Carole Lombard, Shirley Temple, Guy Standing;Young freewheeling wanderer Jerry Day and his beautiful wife Toni are at odds over their lifestyle. Jerry can't accept responsibility but Toni yearns for a family and a settled life. Then ...;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTk5OTI5Njc5Ml5BMl5BanBnXkFtZTcwMTMxNTEzMQ@@._V1_SX300.jpg;N/A;6,6;550;tt0025580;movie;;;
True;The Return of Chandu;1934;N/A;01 Oct 1934;208 min;Horror, Adventure, Fantasy;Ray Taylor;Barry Barringer (adaptation), Harry A. Earnshaw (radio show), R.R. Morgan (radio show), Vera M. Oldham (radio show);Bela Lugosi, Maria Alba, Clara Kimball Young, Lucien Prival;The Black Magic cult of Ubasti, based on the isle of Lemuria, believes that Nadji, a princess of Egypt, is a reincarnation of their long-dead goddess, Ossana, and intend to sacrifice Nadji ...;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BODcyNzQwNDA4Nl5BMl5BanBnXkFtZTgwMjkzNjY3MzE@._V1_SX300.jpg;N/A;6,2;181;tt0025712;movie;;;
True;Betty Boop with Henry the Funniest Living American;1935;N/A;22 Dec 1935;7 min;Animation, Short, Comedy;Dave Fleischer;N/A;Mae Questel;Henry, comic strip character, gets a job at Betty Boop's pet store.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTI4MzA2MjUyOF5BMl5BanBnXkFtZTcwNzg1NTgxMQ@@._V1_SX300.jpg;N/A;5,5;134;tt0026110;movie;;;
True;Enchanted April;1935;PASSED;01 Feb 1935;66 min;Comedy, Drama, Romance;Harry Beaumont;Samuel Hoffenstein (screen play), Ray Harris (screen play), Elizabeth von Arnim (novel), Kane Campbell (dramatization by);Ann Harding, Frank Morgan, Katharine Alexander, Reginald Owen;For Lotty Wilkins, romance is no longer part of her marriage. In an effort to find what's missing from her life, she and three other women rent an Italian villa for the month of April, ...;English, Italian;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTIxNzQzNjk5M15BMl5BanBnXkFtZTcwNDMyODkzMQ@@._V1_SX300.jpg;N/A;5,9;195;tt0026313;movie;;;
True;Follow the Fleet;1936;APPROVED;20 Feb 1936;110 min;Comedy, Musical, Romance;Mark Sandrich;"Dwight Taylor (screen play), Allan Scott (screen play), Hubert Osborne (founded upon the play &quot;Shore Leave&quot;)";Fred Astaire, Ginger Rogers, Randolph Scott, Harriet Hilliard;A Navy sailor tries to rekindle a romance with the woman he loves while on liberty in San Francisco.;English;USA;2 nominations.;http://ia.media-imdb.com/images/M/MV5BMTgwNTMyNjU2M15BMl5BanBnXkFtZTgwMjIzMTkxMTE@._V1_SX300.jpg;N/A;7,3;2,941;tt0027630;movie;;;
True;The Garden of Allah;1936;APPROVED;19 Nov 1936;79 min;Adventure, Drama, Romance;Richard Boleslawski;Robert Hichens (novel), W.P. Lipscomb (screenplay), Lynn Riggs (screenplay);Marlene Dietrich, Charles Boyer, Tilly Losch, Basil Rathbone;The star-crossed desert romance of a cloistered woman and a renegade monk.;English;USA;Nominated for 2 Oscars. Another 1 win.;http://ia.media-imdb.com/images/M/MV5BMTQyNDg3MDkyMF5BMl5BanBnXkFtZTgwOTYxMjU0MjE@._V1_SX300.jpg;N/A;6;977;tt0027657;movie;;;
True;General Spanky;1936;PASSED;11 Dec 1936;71 min;Comedy, Family, War;Gordon Douglas, Fred C. Newmeyer;Richard Flournoy (original story and screen play), Hal Yates (original story and screen play), John Guedel (original story and screen play);George 'Spanky' McFarland, Phillips Holmes, Ralph Morgan, Irving Pichel;A small boy is instrumental in a famous Civil War victory.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMjEzNjIzMDI2MV5BMl5BanBnXkFtZTYwODAwMjg5._V1_SX300.jpg;N/A;5,9;237;tt0027665;movie;;;
True;The Invisible Ray;1936;APPROVED;20 Jan 1936;80 min;Horror, Sci-Fi, Thriller;Lambert Hillyer;John Colton (screenplay), Howard Higgin (original story), Douglas Hodges (original story);Boris Karloff, Bela Lugosi, Frances Drake, Frank Lawton;A scientist becomes murderous after discovering, and being exposed to the radiation of, a powerful new element called Radium X.;English, French;USA;1 win.;http://ia.media-imdb.com/images/M/MV5BMTQzMDc4NjE2Nl5BMl5BanBnXkFtZTgwNzIwNTk1MjE@._V1_SX300.jpg;N/A;6,7;1,440;tt0027800;movie;;;
True;The Old Mill Pond;1936;APPROVED;07 Mar 1936;8 min;Animation, Short, Music;Hugh Harman;N/A;N/A;"The fish and frogs gather at the old mill pond to hear a jazz concert. Performers include caricatures of Cab Calloway, Fats Waller, and tap dancer Bill Robinson (&quot;Bojangles&quot;).";English;USA;N/A;N/A;N/A;5,8;121;tt0028057;movie;;;
True;The Plainsman;1936;APPROVED;16 Nov 1936;113 min;Biography, History, Romance;Cecil B. DeMille;Waldemar Young (screen play), Harold Lamb (screen play), Lynn Riggs (screen play), Jeanie Macpherson (material compiled by), Courtney Ryley Cooper (based on data from stories by), Frank J. Wilstach (based on data from stories by);Gary Cooper, Jean Arthur, James Ellison, Charles Bickford;Wild Bill Hickok attempts to stop an Indian uprising that was started by white gun-runners.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMjAzMjYwMzA1N15BMl5BanBnXkFtZTgwOTQ4OTg2MjE@._V1_SX300.jpg;N/A;6,9;1,347;tt0028108;movie;;;
True;A Damsel in Distress;1937;APPROVED;19 Nov 1937;101 min;Comedy, Musical, Romance;George Stevens;P.G. Wodehouse (screen play), Ernest Pagano (screen play), S.K. Lauren (screen play), P.G. Wodehouse (from the story by);Fred Astaire, George Burns, Gracie Allen, Joan Fontaine;"Lady Alyce Marshmorton must marry soon, and the staff of Tottney Castle have laid bets on who she'll choose, with young Albert wagering on &quot;Mr. X.&quot; After Alyce goes to London to meet a beau...";English;USA;Won 1 Oscar. Another 1 nomination.;http://ia.media-imdb.com/images/M/MV5BMTQ5NjIxMjg0N15BMl5BanBnXkFtZTgwMTEyMDkwMzE@._V1._CR26,52,296,441_SX89_AL_.jpg_V1_SX300.jpg;N/A;7;1,269;tt0028757;movie;;;
True;The Good Earth;1937;PASSED;06 Aug 1937;138 min;Drama, Romance;Sidney Franklin, Victor Fleming, Gustav Machatý, Sam Wood;Talbot Jennings (screen play), Tess Slesinger (screen play), Claudine West (screen play), Pearl S. Buck (based upon the novel by);Paul Muni, Luise Rainer, Walter Connolly, Tilly Losch;The story of a farmer in China: a story of humility and bravery. His father gives Wang Lung a freed slave as wife. By diligence and frugality the two manage to enlarge their property. But ...;English;USA;Won 2 Oscars. Another 1 win & 3 nominations.;http://ia.media-imdb.com/images/M/MV5BMjkwMTA2ODY5NV5BMl5BanBnXkFtZTgwODM0NjY1MjE@._V1_SX300.jpg;N/A;7,8;3,417;tt0028944;movie;;;
True;Swing High, Swing Low;1937;PASSED;12 Mar 1937;92 min;Drama, Musical, Romance;Mitchell Leisen;Virginia Van Upp (screen play), Oscar Hammerstein II (screen play), George Manker Watters (based on a play by), Arthur Hopkins (based on a play by);Carole Lombard, Fred MacMurray, Charles Butterworth, Jean Dixon;In Panama, Maggie King meets soldier Skid Johnson on his last day in the army and reluctantly agrees to a date to celebrate. The two become involved in a nightclub brawl which causes Maggie...;English, Spanish;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTczMTk3Nzc3Nl5BMl5BanBnXkFtZTcwNjgzNDMyMQ@@._V1_SX300.jpg;N/A;6,5;456;tt0029626;movie;;;
True;They Gave Him a Gun;1937;APPROVED;07 May 1937;94 min;Crime, Drama, Film-Noir;W.S. Van Dyke;William J. Cowen (book), Cyril Hume, Richard Maibaum, Maurice Rapf;Spencer Tracy, Gladys George, Franchot Tone, Edgar Dearing;Jimmy is drafted and ends up in Fred's troop on his way to Europe. Jimmy becomes vicious with his gun, wins a medal, and weds Fred's nurse girlfriend, Rose. Back home years later, Rose ...;English;USA;N/A;N/A;N/A;6,4;253;tt0029656;movie;;;
True;This Is My Affair;1937;NOT RATED;28 May 1937;100 min;Crime, Drama, History;William A. Seiter;Allen Rivkin (story), Lamar Trotti (story), Allen Rivkin (screenplay), Lamar Trotti (screenplay);Robert Taylor, Barbara Stanwyck, Victor McLaglen, Brian Donlevy;Navy Lt. Richard Perry becomes an undercover man out to discover the leaders of a group of well connected men who pull off bank robberies during the McKinley administration (early 20th ...;English;USA;1 nomination.;http://ia.media-imdb.com/images/M/MV5BMjM0OTI5Mzg5NV5BMl5BanBnXkFtZTgwOTkyNDc0MzE@._V1_SX300.jpg;N/A;6,8;379;tt0029662;movie;;;
True;Accidents Will Happen;1938;APPROVED;09 Apr 1938;62 min;Crime, Drama;William Clemens;George Bricker (screen play), Anthony Coldeway (screen play), George Bricker (from a story by);Ronald Reagan, Gloria Blondell, Dick Purcell, Sheila Bromley;An insurance adjustor tangles with a big insurance-fraud gang.;English;USA;N/A;N/A;N/A;5,6;98;tt0029836;movie;;;
True;Comet Over Broadway;1938;APPROVED;03 Dec 1938;70 min;Drama, Romance;Busby Berkeley, John Farrow;Mark Hellinger (screen play), Robert Buckner (screen play), Faith Baldwin (from: a Cosmopolitan Magazine story by);Kay Francis, Ian Hunter, John Litel, Donald Crisp;Story of a rising stage star and the trouble she causes by her ambition.;English;USA;N/A;N/A;N/A;7;243;tt0030007;movie;;;
True;Gunga Din;1939;APPROVED;17 Feb 1939;117 min;Adventure, War;George Stevens;Joel Sayre (screen play), Fred Guiol (screen play), Ben Hecht (story), Charles MacArthur (story), Rudyard Kipling (poem);Cary Grant, Victor McLaglen, Douglas Fairbanks Jr., Sam Jaffe;In 19th century India, three British soldiers and a native waterbearer must stop a secret mass revival of the murderous Thuggee cult before it can rampage across the land.;English;USA;Nominated for 1 Oscar. Another 1 win.;http://ia.media-imdb.com/images/M/MV5BMjAwMzEyMTk4NF5BMl5BanBnXkFtZTgwNTg0MjkyMTE@._V1_SX300.jpg;N/A;7,5;8,551;tt0031398;movie;;;
True;King of the Underworld;1939;PASSED;14 Jan 1939;67 min;Crime, Drama, Romance;Lewis Seiler;George Bricker (screen play), Vincent Sherman (screen play), W.R. Burnett (adapted from a story by);Humphrey Bogart, Kay Francis, James Stephenson, John Eldredge;After the killing of her husband by friendly fire during a police raid, Dr. Carol Nelson tries to find gangster Joe Gurney to clear her name with the medical board.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMjM1MDk1NzUxNl5BMl5BanBnXkFtZTgwMzU0NTQ0MjE@._V1_SX300.jpg;N/A;6,5;715;tt0031536;movie;;;
True;The Saint Strikes Back;1939;PASSED;10 Mar 1939;64 min;Crime, Drama, Mystery;John Farrow;John Twist (screenplay), Leslie Charteris (novel);George Sanders, Wendy Barrie, Jonathan Hale, Jerome Cowan;Simon Templar, the Saint, travels to San Francisco to solve crime mysteries within the police department.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTg2Mjc3Mjg2Ml5BMl5BanBnXkFtZTYwMDc0ODk4._V1_SX300.jpg;N/A;6,3;594;tt0031890;movie;;;
True;Swing!;1938;N/A;N/A;69 min;Musical, Drama;Oscar Micheaux;Oscar Micheaux (screenplay), Oscar Micheaux (story);Cora Green, Larry Seymour, Hazel Diaz, Alec Lovejoy;Ted Gregory is trying to be the first black producer to mount a show on Broadway, but he has trouble with his star singer.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTg5MjQ1NTE0MV5BMl5BanBnXkFtZTcwMTc5NDcxMw@@._V1_SX300.jpg;N/A;5,4;71;tt0031999;movie;;;
True;They Made Me a Criminal;1939;APPROVED;28 Jan 1939;92 min;Crime, Drama, Sport;Busby Berkeley;Sig Herzig (screen play), Bertram Millhauser (from a novel by), Beulah Marie Dix (from a novel by);John Garfield, The 'Dead End' Kids, Claude Rains, Ann Sheridan;A boxer flees believing he has comitted a murder while he was drunk.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTk3MTU2NjI2Ml5BMl5BanBnXkFtZTgwMDY1Nzk1MzE@._V1_SX300.jpg;N/A;7,1;1,377;tt0032022;movie;;;
True;Young Mr. Lincoln;1939;APPROVED;09 Jun 1939;100 min;Biography, Drama;John Ford;Lamar Trotti (original screenplay);Henry Fonda, Alice Brady, Marjorie Weaver, Arleen Whelan;A fictionalized account of the early life of the American president as a young lawyer facing his greatest court case.;English;USA;Nominated for 1 Oscar. Another 2 wins & 1 nomination.;http://ia.media-imdb.com/images/M/MV5BMTg5NDc4NTE4MF5BMl5BanBnXkFtZTcwMzY4MTkzMQ@@._V1_SX300.jpg;N/A;7,7;4,993;tt0032155;movie;;;
True;Brigham Young;1940;APPROVED;27 Sep 1940;114 min;Adventure, Biography, History;Henry Hathaway;Louis Bromfield, Lamar Trotti (screenplay);Tyrone Power, Linda Darnell, Dean Jagger, Brian Donlevy;In 1844, after the assassination of Mormon leader Joseph Smith by an angry mob in Illinois, the Mormons choose Brigham Young as their new leader and follow him to a new promised land in Utah.;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BNDUyOTA1NDg3Nl5BMl5BanBnXkFtZTcwMjA2ODEyMQ@@._V1_SX300.jpg;N/A;6,5;690;tt0032281;movie;;;
True;No, No, Nanette;1940;N/A;20 Dec 1940;96 min;Musical;Herbert Wilcox;Frank Mandel (based on the musical comedy by), Otto A. Harbach (based on the musical comedy by), Vincent Youmans (musical comedy by), Emil Nyitray (based on the musical comedy by), Ken Englund (screenplay);Anna Neagle, Richard Carlson, Victor Mature, Roland Young;Perky young Nanette attempts to save the marriage of her uncle and aunt by untangling Uncle Jimmy from several innocent but ensnaring flirtations. Attempting one such unentanglement, ...;English;USA;N/A;http://ia.media-imdb.com/images/M/MV5BMTk2MDc3NDY4MV5BMl5BanBnXkFtZTcwMTU1MDE2MQ@@._V1_SX300.jpg;N/A;5,4;96;tt0032847;movie;;;
